candidate_c,selected_threshold,allow_precision,allow_recall,allow_f1,block_precision,block_recall,block_f1,macro_f1,accuracy,adversarial_block_rate,benign_false_positive_rate,true_allow_pred_allow,true_allow_pred_block,true_block_pred_allow,true_block_pred_block,selected_model
0.01,0.4980476262239891,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.9866666666666668,0.9866666666666667,0.9866666666666667,0.013333333333333334,148,2,2,148,0
0.1,0.49676109576366007,0.9867549668874173,0.9933333333333333,0.9900332225913622,0.9932885906040269,0.9866666666666667,0.9899665551839465,0.9899998888876543,0.99,0.9866666666666667,0.006666666666666667,149,1,2,148,0
1.0,0.4252012281752097,0.9932885906040269,0.9866666666666667,0.9899665551839465,0.9867549668874173,0.9933333333333333,0.9900332225913622,0.9899998888876543,0.99,0.9933333333333333,0.013333333333333334,148,2,1,149,0
10.0,0.4199950085320943,1.0,0.9933333333333333,0.9966555183946488,0.9933774834437086,1.0,0.9966777408637874,0.9966666296292181,0.9966666666666667,1.0,0.006666666666666667,149,1,0,150,1
