message_id,encryption_ms,scoring_ms,decryption_ms,end_to_end_ms
stage3_allow_transaction_scoring_c18_v01,5.0381559995003045,27.121581020765007,2.74701596936211,35.20371101330966
stage3_allow_transaction_scoring_c18_v02,4.701199010014534,26.335358968935907,2.6750960387289524,33.983462024480104
stage3_allow_transaction_scoring_c18_v03,4.5824500266462564,26.024370978120714,2.738275972660631,33.59118499793112
stage3_allow_transaction_scoring_c18_v04,4.580669978167862,26.19534998666495,2.732254972215742,33.6927340249531
stage3_allow_transaction_scoring_c18_v05,4.59336896892637,26.250839000567794,2.761535986792296,33.829231979325414
stage3_allow_transaction_scoring_c18_v06,4.6014400431886315,26.18972898926586,2.811736019793898,33.85031200014055
stage3_allow_transaction_scoring_c18_v07,4.611240001395345,26.315178023651242,2.666966989636421,33.81602297304198
stage3_allow_transaction_scoring_c18_v08,4.583529022056609,26.396007975563407,2.629946975503117,33.86912203859538
stage3_allow_transaction_scoring_c18_v09,4.577469022478908,26.436508051119745,2.461568044964224,33.716222969815135
stage3_allow_transaction_scoring_c18_v10,4.57206997089088,26.361758005805314,2.8692249907180667,33.97662099450827
stage3_allow_transaction_scoring_c19_v01,4.547560005448759,26.434878003783524,2.800285001285374,34.03976099798456
stage3_allow_transaction_scoring_c19_v02,4.593028977978975,26.147730997763574,2.730045991484076,33.73072302201763
stage3_allow_transaction_scoring_c19_v03,4.579139989800751,26.509287010412663,2.7866950258612633,34.146910009440035
stage3_allow_transaction_scoring_c19_v04,4.607488983310759,26.45236800890416,2.737605944275856,34.048519970383495
stage3_allow_transaction_scoring_c19_v05,4.625000001396984,26.094640023075044,2.4561890168115497,33.39034697273746
stage3_allow_transaction_scoring_c19_v06,4.597699036821723,26.204819965641946,3.1315620290115476,34.12785002728924
stage3_allow_transaction_scoring_c19_v07,4.600570013280958,26.172389974817634,2.634876989759505,33.60461501870304
stage3_allow_transaction_scoring_c19_v08,4.52880997909233,26.284908992238343,3.007143037393689,34.04171101283282
stage3_allow_transaction_scoring_c19_v09,4.605980007909238,26.463896967470646,2.755385998170823,34.09049997571856
stage3_allow_transaction_scoring_c19_v10,4.621269006747752,26.244808977935463,2.681687008589506,33.8061319780536
stage3_allow_transaction_scoring_c20_v01,4.557059961371124,26.334478985518217,2.71115597570315,33.85707299457863
stage3_allow_transaction_scoring_c20_v02,4.61308000376448,26.222859043627977,2.765715995337814,33.875602995976806
