phase,exposure_condition,batch_index,batch_size,start_example_index,end_example_index,elapsed_ms,gpu_synchronized_elapsed_ms
adapter_forward,10x,0,16,0,15,232.28829703293741,228.90857298625633
adapter_forward,10x,1,16,16,31,238.87583700707182,235.68911099573597
adapter_forward,10x,2,16,32,47,239.85455901129171,236.69882299145684
adapter_forward,10x,3,16,48,63,240.01513898838311,236.85442295391113
adapter_forward,10x,4,16,64,79,239.94494799990207,236.88799195224419
adapter_forward,10x,5,16,80,95,240.01737899379805,236.9655619841069
adapter_forward,10x,6,16,96,111,240.25537597481161,237.18763899523765
adapter_forward,10x,7,16,112,127,239.98828901676461,236.96513200411573
adapter_forward,10x,8,16,128,143,240.12063699774444,237.11133998585865
adapter_forward,10x,9,16,144,159,240.22478697588667,237.22893896047026
adapter_forward,10x,10,16,160,175,240.54928502300754,237.24536004010588
adapter_forward,10x,11,16,176,191,240.69744301959872,237.37491801148281
adapter_forward,10x,12,16,192,207,240.40171498199925,237.306737981271
adapter_forward,10x,13,16,208,223,236.35122698033229,233.2875799620524
adapter_forward,10x,14,16,224,239,240.51573500037193,237.34281898941845
adapter_forward,10x,15,16,240,255,240.71828299202025,237.60393698466942
adapter_forward,10x,16,16,256,271,240.67049304721877,237.51729697687551
adapter_forward,10x,17,16,272,287,240.8465719781816,237.74352500913665
adapter_forward,10x,18,16,288,303,240.87418202543631,237.67001600936055
adapter_forward,10x,19,16,304,319,240.89953198563308,237.72241594269872
adapter_forward,10x,20,16,320,335,236.67733400361612,233.63933700602502
adapter_forward,10x,21,16,336,351,240.83782301750034,237.64424695400521
adapter_forward,10x,22,16,352,367,241.0070410114713,237.90253500919789
adapter_forward,10x,23,16,368,383,240.96607102546841,237.8525750245899
adapter_forward,10x,24,16,384,399,241.02367099840194,237.82794503495097
adapter_forward,10x,25,16,400,415,240.95686199143529,237.83542501041666
adapter_forward,10x,26,16,416,431,240.86147197522223,237.70343599608168
adapter_forward,10x,27,16,432,447,241.00073100998998,237.87898500449955
adapter_forward,10x,28,16,448,463,236.82990303495899,233.6298770387657
adapter_forward,10x,29,16,464,479,240.96241098595783,237.82615503296256
adapter_forward,10x,30,16,480,495,241.00387201178819,237.88745503406972
adapter_forward,10x,31,16,496,511,241.13112001214176,237.96350497286767
adapter_forward,10x,32,16,512,527,241.16144998697564,238.04474400822073
adapter_forward,10x,33,16,528,543,241.17539002327248,237.98281402559951
adapter_forward,10x,34,16,544,559,241.0747809917666,237.90661501698196
adapter_forward,10x,35,16,560,575,241.44408799475059,238.10588399646804
adapter_forward,10x,36,16,576,591,240.85680197458714,237.73381597129628
adapter_forward,10x,37,16,592,607,241.13103101262823,238.00249496707693
adapter_forward,10x,38,16,608,623,240.93671201262623,237.71512601524591
adapter_forward,10x,39,16,624,639,240.87225302355364,237.63091705041006
adapter_forward,10x,40,16,640,655,240.71799300145358,237.59608698310331
adapter_forward,10x,41,16,656,671,240.72001304011792,237.60192701593041
adapter_forward,10x,42,16,672,687,241.15963099757209,237.86105494946241
adapter_forward,10x,43,16,688,703,241.03521095821634,237.90541500784457
adapter_forward,10x,44,16,704,719,240.9619219833985,237.76889604050666
adapter_forward,10x,45,16,720,735,241.0950810299255,237.88952600443736
adapter_forward,10x,46,16,736,751,240.75931299012154,237.64982697321102
adapter_forward,10x,47,16,752,767,241.03574099717662,237.8734850208275
adapter_forward,10x,48,16,768,783,240.98735203733668,237.89000499527901
adapter_forward,10x,49,16,784,799,240.89470197213814,237.76490602176636
adapter_forward,10x,50,16,800,815,241.0394010366872,237.83328599529341
adapter_forward,10x,51,16,816,831,240.89560203719884,237.77993500698358
adapter_forward,10x,52,16,832,847,241.07135197846219,237.92586498893797
adapter_forward,10x,53,16,848,863,241.22185900341719,237.91675502434373
adapter_forward,10x,54,16,864,879,241.07100203400478,237.92670498369262
adapter_forward,10x,55,16,880,895,241.09422002220526,237.92440502438694
adapter_forward,10x,56,16,896,911,241.35609902441502,238.16921300021932
adapter_forward,10x,57,16,912,927,237.13467101333663,233.97493502125144
adapter_forward,10x,58,16,928,943,241.18124000960961,237.91037499904633
adapter_forward,10x,59,16,944,959,241.18543101940304,238.06725401664153
adapter_forward,10x,60,16,960,975,241.25238001579419,238.14931401284412
adapter_forward,10x,61,16,976,991,241.23401002725586,238.10620402218774
adapter_forward,10x,62,16,992,1007,241.45309801679105,238.35456202505156
adapter_forward,10x,63,16,1008,1023,237.09577100817114,233.95113495644182
adapter_forward,10x,64,16,1024,1039,241.44324799999595,238.19705203641206
adapter_forward,10x,65,16,1040,1055,244.818722945638,241.67387600755319
adapter_forward,10x,66,16,1056,1071,241.3062599953264,238.20409300969914
adapter_forward,10x,67,16,1072,1087,241.57764698611572,238.4163310052827
adapter_forward,10x,68,16,1088,1103,241.47478799568489,238.35012200288475
adapter_forward,10x,69,16,1104,1119,241.47921899566427,238.3521519950591
adapter_forward,10x,70,16,1120,1135,241.37424904620275,238.26615302823484
adapter_forward,10x,71,16,1136,1151,241.47110799094662,238.38934197556227
adapter_forward,10x,72,16,1152,1167,241.39837897382677,238.30479296157137
adapter_forward,10x,73,16,1168,1183,241.4274780312553,238.25850302819163
adapter_forward,10x,74,16,1184,1199,241.57534801634029,238.49223100114614
adapter_forward,10x,75,16,1200,1215,241.87367496779189,238.70782001176849
adapter_forward,10x,76,16,1216,1231,241.72351602464914,238.62227902282029
adapter_forward,10x,77,16,1232,1247,241.56143801519647,238.39713202323765
adapter_forward,10x,78,16,1248,1263,241.82965600630268,238.63259999779984
adapter_forward,10x,79,16,1264,1279,244.84044301789254,241.70232698088512
adapter_forward,10x,80,16,1280,1295,241.78803496761248,238.6049689957872
adapter_forward,10x,81,16,1296,1311,241.69637699378654,238.55742003070191
adapter_forward,10x,82,16,1312,1327,241.63470702478662,238.45972097478807
adapter_forward,10x,83,16,1328,1343,241.69256701134145,238.503311004024
adapter_forward,10x,84,16,1344,1359,241.94264499237761,238.775659003295
adapter_forward,10x,85,16,1360,1375,245.36179902497679,242.07083397777751
adapter_forward,10x,86,16,1376,1391,241.9685649801977,238.9543479657732
adapter_forward,10x,87,16,1392,1407,241.57861701678485,238.56377002084628
adapter_forward,10x,88,16,1408,1423,241.70435697305948,238.65368001861498
adapter_forward,10x,89,16,1424,1439,241.72110698418692,238.50183095782995
adapter_forward,10x,90,16,1440,1455,241.84504500590265,238.64394897827879
adapter_forward,10x,91,16,1456,1471,241.68520804960281,238.40388300595805
adapter_forward,10x,92,16,1472,1487,241.49092903826386,238.31331299152225
adapter_forward,10x,93,16,1488,1503,241.72126600751653,238.625839992892
adapter_forward,10x,94,16,1504,1519,237.5127489794977,234.46545202750713
adapter_forward,10x,95,16,1520,1535,241.73873598920181,238.53031999897212
adapter_forward,10x,96,16,1536,1551,241.67299800319597,238.56164101744071
adapter_forward,10x,97,16,1552,1567,241.74105597194284,238.56415995396674
adapter_forward,10x,98,16,1568,1583,241.72529700445011,238.49844100186601
adapter_forward,10x,99,16,1584,1599,241.75019602989778,238.54873003438115
adapter_forward,10x,100,16,1600,1615,241.60808802116662,238.51186101092026
adapter_forward,10x,101,16,1616,1631,241.86739599099383,238.67477994645014
adapter_forward,10x,102,16,1632,1647,241.89711501821876,238.85948798852041
adapter_forward,10x,103,16,1648,1663,241.64342804579064,238.56765101663768
adapter_forward,10x,104,16,1664,1679,241.56795802991837,238.58900100458413
adapter_forward,10x,105,16,1680,1695,241.73439701553434,238.67522098589689
adapter_forward,10x,106,16,1696,1711,241.70425697229803,238.65111998748034
adapter_forward,10x,107,16,1712,1727,241.62208801135421,238.54167101671919
