threshold,fpr,tpr
10.216865357574845,0,0
10.216865357574843,0,0.000125
10.211519155463547,0,0.00025000000000000001
10.205464422800414,0,0.00037500000000000001
10.201672171872989,0,0.00050000000000000001
10.190707413719784,0,0.00062500000000000001
10.190657582462121,0,0.00075000000000000002
10.183148934266407,0,0.00087500000000000002
10.179449272874637,0.00050000000000000001,0.00087500000000000002
10.177551017060669,0.00050000000000000001,0.001
10.177437805554138,0.00050000000000000001,0.0011249999999999999
10.176946778069553,0.00050000000000000001,0.00125
10.17177177271302,0.00050000000000000001,0.0013749999999999999
10.168694367350824,0.00050000000000000001,0.0015
10.168181093684293,0.00050000000000000001,0.0016249999999999999
10.167202367405364,0.00050000000000000001,0.00175
10.164647990674718,0.00050000000000000001,0.0018749999999999999
10.163953098201516,0.00050000000000000001,0.002
10.16333198180449,0.00050000000000000001,0.0021250000000000002
10.162733018885939,0.00050000000000000001,0.0022499999999999998
10.162533537331559,0.00050000000000000001,0.0023749999999999999
10.162505910431085,0.00050000000000000001,0.0025000000000000001
10.161684068529997,0.00050000000000000001,0.0026250000000000002
10.161168943969285,0.00050000000000000001,0.0027499999999999998
10.159468585105305,0.00050000000000000001,0.002875
10.157638380698566,0.00050000000000000001,0.0030000000000000001
10.154755083264599,0.001,0.0030000000000000001
10.154602191563214,0.001,0.0031250000000000002
10.154386435456782,0.0015,0.0031250000000000002
10.150781346739642,0.002,0.0031250000000000002
10.150233355789826,0.002,0.0032499999999999999
10.149049913584211,0.002,0.003375
10.148458611371533,0.002,0.0035000000000000001
10.148319743701794,0.002,0.0036250000000000002
10.144070935269506,0.002,0.0037499999999999999
10.143294309938772,0.002,0.003875
10.142773005404969,0.002,0.0040000000000000001
10.140110936316471,0.0025000000000000001,0.0040000000000000001
10.139417450291232,0.0025000000000000001,0.0041250000000000002
10.136970965436769,0.0025000000000000001,0.0042500000000000003
10.136701916073308,0.0025000000000000001,0.0043750000000000004
10.130833404659171,0.0025000000000000001,0.0044999999999999997
10.130787623972671,0.0030000000000000001,0.0044999999999999997
10.130715985945427,0.0030000000000000001,0.0046249999999999998
10.129250531538954,0.0035000000000000001,0.0046249999999999998
10.129012726368472,0.0035000000000000001,0.0047499999999999999
10.128130115589302,0.0035000000000000001,0.004875
10.127921576183748,0.0035000000000000001,0.0050000000000000001
10.127340488660849,0.0040000000000000001,0.0050000000000000001
10.126981766595589,0.0040000000000000001,0.0051250000000000002
10.126550758630884,0.0044999999999999997,0.0051250000000000002
10.126416573847269,0.0044999999999999997,0.0052500000000000003
10.125667926457361,0.0044999999999999997,0.0053749999999999996
10.124577356267633,0.0044999999999999997,0.0054999999999999997
10.12412540098677,0.0044999999999999997,0.0056249999999999998
10.123839446609342,0.0044999999999999997,0.0057499999999999999
10.123796162995768,0.0044999999999999997,0.005875
10.122266611055062,0.0044999999999999997,0.0060000000000000001
10.121853953738855,0.0044999999999999997,0.0061250000000000002
10.119039165501974,0.0050000000000000001,0.0061250000000000002
10.11797964885749,0.0050000000000000001,0.0062500000000000003
10.117925601393194,0.0050000000000000001,0.0063749999999999996
10.117297957141259,0.0050000000000000001,0.0064999999999999997
10.117278095817703,0.0054999999999999997,0.0064999999999999997
10.117264383981537,0.0054999999999999997,0.0066249999999999998
10.117234741548277,0.0054999999999999997,0.0067499999999999999
10.116628804349045,0.0054999999999999997,0.006875
10.115430053552062,0.0054999999999999997,0.0070000000000000001
