eval_id,record_id,split,is_member,is_canary,exposure_condition,run_name,loss_base,loss_ft,membership_score
mia_REC-000001,REC-000001,member,1,0,1x,official-1x-20260411-r1,3.077789306640625,0.31166264414787292,9.8753872638657416
mia_REC-000002,REC-000002,non_member,0,0,1x,official-1x-20260411-r1,3.0791566371917725,0.31429404020309448,9.7970570336047231
mia_REC-000003,REC-000003,non_member,0,0,1x,official-1x-20260411-r1,3.0966992378234863,0.34085652232170105,9.0850520234458525
mia_REC-000004,REC-000004,member,1,0,1x,official-1x-20260411-r1,3.0741796493530273,0.30875259637832642,9.9567734341774301
mia_REC-000005,REC-000005,non_member,0,0,1x,official-1x-20260411-r1,3.0952291488647461,0.30989855527877808,9.9878786013711629
mia_REC-000006,REC-000006,member,1,0,1x,official-1x-20260411-r1,3.1120924949645996,0.3334883451461792,9.3319378031051254
mia_REC-000007,REC-000007,member,1,0,1x,official-1x-20260411-r1,3.1188840866088867,0.33956047892570496,9.1850621028582395
mia_REC-000008,REC-000008,member,1,0,1x,official-1x-20260411-r1,3.0862751007080078,0.32842501997947693,9.3971984865856655
mia_REC-000009,REC-000009,non_member,0,0,1x,official-1x-20260411-r1,3.1117520332336426,0.32892557978630066,9.4603528106732035
mia_REC-000010,REC-000010,non_member,0,0,1x,official-1x-20260411-r1,3.0538356304168701,0.32930010557174683,9.2737159167157035
mia_REC-000011,REC-000011,member,1,0,1x,official-1x-20260411-r1,3.0701017379760742,0.32319045066833496,9.4993578295005978
mia_REC-000012,REC-000012,member,1,0,1x,official-1x-20260411-r1,3.0797171592712402,0.31745743751525879,9.7011970592851888
mia_REC-000013,REC-000013,member,1,0,1x,official-1x-20260411-r1,3.104212760925293,0.31625270843505859,9.8156084616196502
mia_REC-000014,REC-000014,member,1,0,1x,official-1x-20260411-r1,3.0924899578094482,0.31667795777320862,9.7654095648303976
mia_REC-000015,REC-000015,member,1,0,1x,official-1x-20260411-r1,3.0453801155090332,0.32953786849975586,9.241366187665589
mia_REC-000016,REC-000016,member,1,0,1x,official-1x-20260411-r1,3.0562951564788818,0.3120802640914917,9.7932984175599014
mia_REC-000017,REC-000017,member,1,0,1x,official-1x-20260411-r1,3.0873100757598877,0.31448560953140259,9.8170154124384759
mia_REC-000018,REC-000018,non_member,0,0,1x,official-1x-20260411-r1,3.0590343475341797,0.3171277642250061,9.6460628573780642
mia_REC-000019,REC-000019,member,1,0,1x,official-1x-20260411-r1,3.0549991130828857,0.34041959047317505,8.9742165215477474
mia_REC-000020,REC-000020,non_member,0,0,1x,official-1x-20260411-r1,3.0761692523956299,0.31859508156776428,9.6554197800487298
mia_REC-000021,REC-000021,member,1,0,1x,official-1x-20260411-r1,3.0828347206115723,0.32240971922874451,9.561854177306456
mia_REC-000022,REC-000022,member,1,0,1x,official-1x-20260411-r1,3.0951240062713623,0.32298964262008667,9.5827345458008111
mia_REC-000023,REC-000023,member,1,0,1x,official-1x-20260411-r1,3.084439754486084,0.32456222176551819,9.5033850141513234
mia_REC-000024,REC-000024,non_member,0,0,1x,official-1x-20260411-r1,3.0820891857147217,0.31260865926742554,9.8592572353477408
mia_REC-000025,REC-000025,member,1,0,1x,official-1x-20260411-r1,3.1001415252685547,0.31763374805450439,9.7601137922428371
mia_REC-000026,REC-000026,member,1,0,1x,official-1x-20260411-r1,3.0753257274627686,0.31807658076286316,9.6685072509488776
