eval_id,record_id,split,is_member,is_canary,exposure_condition,run_name,loss_base,loss_ft,membership_score
mia_REC-000001,REC-000001,member,1,0,10x,official-10x-20260411-r1,3.077789306640625,0.31113919615745544,9.8920012156972845
mia_REC-000002,REC-000002,non_member,0,0,10x,official-10x-20260411-r1,3.0791566371917725,0.31518229842185974,9.7694466110861224
mia_REC-000003,REC-000003,non_member,0,0,10x,official-10x-20260411-r1,3.0966992378234863,0.34738448262214661,8.914328050720087
mia_REC-000004,REC-000004,member,1,0,10x,official-10x-20260411-r1,3.0741796493530273,0.30880162119865417,9.9551927137564693
mia_REC-000005,REC-000005,non_member,0,0,10x,official-10x-20260411-r1,3.0952291488647461,0.3149910569190979,9.8264032609018575
mia_REC-000006,REC-000006,member,1,0,10x,official-10x-20260411-r1,3.1120924949645996,0.33789980411529541,9.2101044660644931
mia_REC-000007,REC-000007,member,1,0,10x,official-10x-20260411-r1,3.1188840866088867,0.34135419130325317,9.1367973971590235
mia_REC-000008,REC-000008,member,1,0,10x,official-10x-20260411-r1,3.0862751007080078,0.3289768397808075,9.3814357957975041
mia_REC-000009,REC-000009,non_member,0,0,10x,official-10x-20260411-r1,3.1117520332336426,0.33078238368034363,9.4072483504464053
mia_REC-000010,REC-000010,non_member,0,0,10x,official-10x-20260411-r1,3.0538356304168701,0.33351260423660278,9.1565823648763729
mia_REC-000011,REC-000011,member,1,0,10x,official-10x-20260411-r1,3.0701017379760742,0.32550054788589478,9.4319403082919173
mia_REC-000012,REC-000012,member,1,0,10x,official-10x-20260411-r1,3.0797171592712402,0.31944730877876282,9.6407672709621615
mia_REC-000013,REC-000013,member,1,0,10x,official-10x-20260411-r1,3.104212760925293,0.32269135117530823,9.619758167112666
mia_REC-000014,REC-000014,member,1,0,10x,official-10x-20260411-r1,3.0924899578094482,0.32123970985412598,9.626736243827823
mia_REC-000015,REC-000015,member,1,0,10x,official-10x-20260411-r1,3.0453801155090332,0.33132532238960266,9.1915103063809784
mia_REC-000016,REC-000016,member,1,0,10x,official-10x-20260411-r1,3.0562951564788818,0.31234917044639587,9.7848672116239577
mia_REC-000017,REC-000017,member,1,0,10x,official-10x-20260411-r1,3.0873100757598877,0.31798893213272095,9.7088601639484686
